hidden1_dim,hidden2_dim,learning_rate,epochs,patience,number_of_batches,learning_shrink,input_dim,random_state,train_mse,val_mse,best_val_loss_train_loop,final_learning_rate,epochs_ran,status,seconds,error
64,32,0.1,100,1,40,True,16,0,0.02978473557816521,0.0298189815931108,0.0298742263009552,0.04782969,31.0,ok,56.304,
64,32,0.1,100,1,40,False,16,0,0.02945870550219126,0.0294422138646692,0.0294653971333936,0.1,28.0,ok,47.557,
64,32,0.1,100,1,400,True,16,0,0.02920280260234176,0.0292253817024501,0.0292346785870965,0.081,14.0,ok,29.332,
64,32,0.1,100,1,400,False,16,0,0.029082456707231887,0.0291050256918403,0.0291116287029765,0.1,16.0,ok,28.917,
64,32,0.1,100,1,4000,True,16,0,0.02864776795862321,0.0286941714212575,0.0287090350286014,0.1,8.0,ok,10.915,
64,32,0.1,100,1,4000,False,16,0,0.028553174011767456,0.0286701201799982,0.0285798011369483,0.1,11.0,ok,14.771,
64,32,0.1,100,3,40,True,16,0,0.02981241290540134,0.0297862020971856,0.0298977892122114,0.0166771816996665,60.0,ok,99.086,
64,32,0.1,100,3,40,False,16,0,0.029310119022381738,0.0292803990018851,0.0293627517967294,0.1,100.0,ok,237.017,
64,32,0.1,100,3,400,True,16,0,0.028882408748003154,0.028927170349416,0.0289599583236846,0.031381059609,40.0,ok,75.666,
64,32,0.1,100,3,400,False,16,0,0.02883643209650317,0.0288729333553162,0.0289174136814535,0.1,32.0,ok,20.892,
64,32,0.1,100,3,4000,True,16,0,0.02830935395441447,0.0283904888610352,0.0283759996372125,0.0729,24.0,ok,14.894,
64,32,0.1,100,3,4000,False,16,0,0.02842050239827846,0.0284904481484745,0.0284010130991238,0.1,18.0,ok,11.18,
64,32,0.1,100,5,40,True,16,0,0.029774558240058417,0.0297320631413241,0.029841924324618,0.0121576654590569,66.0,ok,55.732,
64,32,0.1,100,5,40,False,16,0,0.029505579010706853,0.0294819656935322,0.0295440087850505,0.1,100.0,ok,85.477,
64,32,0.1,100,5,400,True,16,0,0.028933932790524287,0.0289551717340737,0.0289427213656941,0.04782969,25.0,ok,18.886,
64,32,0.1,100,5,400,False,16,0,0.028655036938292966,0.0286908346669439,0.0286986618676934,0.1,100.0,ok,67.817,
64,32,0.1,100,5,4000,True,16,0,0.028247090168362538,0.0283499404028284,0.0282990127349874,0.059049,24.0,ok,15.317,
64,32,0.1,100,5,4000,False,16,0,0.02844403078347752,0.0285636994255949,0.0282476758547386,0.1,40.0,ok,25.716,
64,32,0.1,100,10,40,True,16,0,0.03083675784623767,0.030769054409512,0.0309892343552339,0.031381059609,35.0,ok,31.192,
64,32,0.1,100,10,40,False,16,0,0.02924832620388683,0.0292295232651946,0.0293060419194842,0.1,100.0,ok,88.599,
64,32,0.1,100,10,400,True,16,0,0.029143617841287533,0.0291726580721719,0.0291561238424993,0.0047101286972462,99.0,ok,84.223,
64,32,0.1,100,10,400,False,16,0,0.02870266146557369,0.0287306289754926,0.0287530030351437,0.1,100.0,ok,92.949,
64,32,0.1,100,10,4000,True,16,0,0.02832488201217373,0.0284160380799486,0.0283153490524237,0.043046721,39.0,ok,31.19,
64,32,0.1,100,10,4000,False,16,0,0.028201139084978837,0.0283374973301493,0.028217860270224,0.1,43.0,ok,35.997,
64,32,0.1,100,20,40,True,16,0,0.029864808460148613,0.0298260818007737,0.0299572852860534,0.0042391158275216,100.0,ok,115.005,
64,32,0.1,100,20,40,False,16,0,0.029558781890008424,0.0295326855485739,0.0296279487112123,0.1,100.0,ok,115.452,
64,32,0.1,100,20,400,True,16,0,0.028878695676002382,0.0289214103467739,0.0289348141965623,0.0047101286972462,100.0,ok,109.399,
64,32,0.1,100,20,400,False,16,0,0.02836650658366579,0.0284515014260345,0.0284228998146946,0.1,100.0,ok,97.953,
64,32,0.1,100,20,4000,True,16,0,0.028112046415428575,0.0282828834613677,0.028180327868576,0.0088629381196525,80.0,ok,71.78,
